Query,Index,Plans,Plan
Hybrid,SCAN,90,"[""0:Select[distance,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:Function[warren.euclidean(Typed[FLOAT_VEC(96)],Typed[FLOAT_VEC(96)]): DOUBLE -> distance]"", ""0:Fetch[warren.evaluation.yandex_deep5m.feature]"", ""0:ScanIndex[BTREE,warren.evaluation.yandex_deep5m.category = :1]""]"
Hybrid,VAF,90,"[""0:Select[distance,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:Function[warren.euclidean(Typed[FLOAT_VEC(96)],Typed[FLOAT_VEC(96)]): DOUBLE -> distance]"", ""0:Fetch[warren.evaluation.yandex_deep5m.feature]"", ""0:ScanIndex[BTREE,warren.evaluation.yandex_deep5m.category = :1]""]"
Hybrid,PQ,90,"[""0:Select[distance,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:Filter[warren.evaluation.yandex_deep5m.category = :1]"", ""0:Fetch[warren.evaluation.yandex_deep5m.category]"", ""0:ScanIndex[PQ,Scan(column=warren.evaluation.yandex_deep5m.feature(type=FLOAT_VEC(96), nullable=false, primary=false), distance=org.vitrivr.cottontail.core.queries.functions.math.distance.binary.EuclideanDistance\$FloatVector@5a5322d5, query=:0)]""]"
Hybrid,IVFPQ,90,"[""0:Select[distance,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:Filter[warren.evaluation.yandex_deep5m.category = :1]"", ""0:Fetch[warren.evaluation.yandex_deep5m.category]"", ""0:ScanIndex[IVFPQ,Scan(column=warren.evaluation.yandex_deep5m.feature(type=FLOAT_VEC(96), nullable=false, primary=false), distance=org.vitrivr.cottontail.core.queries.functions.math.distance.binary.EuclideanDistance\$FloatVector@5a5322d5, query=:0)]""]"
NNS,SCAN,90,"[""0:Select[distance,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:Function[warren.euclidean(Typed[FLOAT_VEC(96)],Typed[FLOAT_VEC(96)]): DOUBLE -> distance]"", ""0:ScanEntity[warren.evaluation.yandex_deep5m.feature]""]"
NNS,VAF,90,"[""0:Select[distance,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:ScanIndex[VAF,NNS(column=warren.evaluation.yandex_deep5m.feature(type=FLOAT_VEC(96), nullable=false, primary=false), k=1000, distance=org.vitrivr.cottontail.core.queries.functions.math.distance.binary.EuclideanDistance\$FloatVector@5a5322d5, query=:0)]""]"
NNS,PQ,90,"[""0:Select[distance,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:ScanIndex[PQ,Scan(column=warren.evaluation.yandex_deep5m.feature(type=FLOAT_VEC(96), nullable=false, primary=false), distance=org.vitrivr.cottontail.core.queries.functions.math.distance.binary.EuclideanDistance\$FloatVector@5a5322d5, query=:0)]""]"
NNS,IVFPQ,90,"[""0:Select[distance,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:ScanIndex[IVFPQ,Scan(column=warren.evaluation.yandex_deep5m.feature(type=FLOAT_VEC(96), nullable=false, primary=false), distance=org.vitrivr.cottontail.core.queries.functions.math.distance.binary.EuclideanDistance\$FloatVector@5a5322d5, query=:0)]""]"
NNS + Fetch,SCAN,90,"[""0:Select[feature,distance,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:Function[warren.euclidean(Typed[FLOAT_VEC(96)],Typed[FLOAT_VEC(96)]): DOUBLE -> distance]"", ""0:ScanEntity[feature]""]"
NNS + Fetch,VAF,90,"[""0:Select[distance,feature,id]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id]"", ""0:ScanIndex[VAF,NNS(column=warren.evaluation.yandex_deep5m.feature(type=FLOAT_VEC(96), nullable=false, primary=false), k=1000, distance=org.vitrivr.cottontail.core.queries.functions.math.distance.binary.EuclideanDistance\$FloatVector@5a5322d5, query=:0)]""]"
NNS + Fetch,PQ,90,"[""0:Select[distance,id,feature]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id,warren.evaluation.yandex_deep5m.feature]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:ScanIndex[PQ,Scan(column=warren.evaluation.yandex_deep5m.feature(type=FLOAT_VEC(96), nullable=false, primary=false), distance=org.vitrivr.cottontail.core.queries.functions.math.distance.binary.EuclideanDistance\$FloatVector@5a5322d5, query=:0)]""]"
NNS + Fetch,IVFPQ,90,"[""0:Select[distance,id,feature]"", ""0:Fetch[warren.evaluation.yandex_deep5m.id,warren.evaluation.yandex_deep5m.feature]"", ""0:OrderAndLimit[distance ASCENDING,1000]"", ""0:ScanIndex[IVFPQ,Scan(column=warren.evaluation.yandex_deep5m.feature(type=FLOAT_VEC(96), nullable=false, primary=false), distance=org.vitrivr.cottontail.core.queries.functions.math.distance.binary.EuclideanDistance\$FloatVector@5a5322d5, query=:0)]""]"
